Time,HeartRate,Cadence
2023-10-01 00:00:00,140,177
2023-10-01 00:00:01,132,176
2023-10-01 00:00:02,129,177
2023-10-01 00:00:03,128,172
2023-10-01 00:00:04,133,174
2023-10-01 00:00:05,137,175
2023-10-01 00:00:06,138,173
2023-10-01 00:00:07,140,175
2023-10-01 00:00:08,134,177
2023-10-01 00:00:09,129,176
2023-10-01 00:00:10,140,177
2023-10-01 00:00:11,136,177
2023-10-01 00:00:12,134,174
2023-10-01 00:00:13,132,173
2023-10-01 00:00:14,139,172
2023-10-01 00:00:15,140,175
2023-10-01 00:00:16,128,174
2023-10-01 00:00:17,141,175
2023-10-01 00:00:18,136,175
2023-10-01 00:00:19,132,174
2023-10-01 00:00:20,139,173
2023-10-01 00:00:21,129,177
2023-10-01 00:00:22,131,173
2023-10-01 00:00:23,133,173
2023-10-01 00:00:24,135,174
2023-10-01 00:00:25,142,172
2023-10-01 00:00:26,129,172
2023-10-01 00:00:27,128,173
2023-10-01 00:00:28,131,172
2023-10-01 00:00:29,131,177
2023-10-01 00:00:30,136,176
2023-10-01 00:00:31,139,174
2023-10-01 00:00:32,135,174
2023-10-01 00:00:33,128,173
2023-10-01 00:00:34,140,176
2023-10-01 00:00:35,139,177
2023-10-01 00:00:36,138,176
2023-10-01 00:00:37,135,175
2023-10-01 00:00:38,135,176
2023-10-01 00:00:39,139,173
2023-10-01 00:00:40,137,177
2023-10-01 00:00:41,128,173
2023-10-01 00:00:42,135,176
2023-10-01 00:00:43,133,175
2023-10-01 00:00:44,132,177
2023-10-01 00:00:45,141,173
2023-10-01 00:00:46,140,173
2023-10-01 00:00:47,133,173
2023-10-01 00:00:48,128,173
2023-10-01 00:00:49,136,175
2023-10-01 00:00:50,129,176
2023-10-01 00:00:51,137,175
2023-10-01 00:00:52,133,173
2023-10-01 00:00:53,128,173
2023-10-01 00:00:54,133,174
2023-10-01 00:00:55,132,175
2023-10-01 00:00:56,139,174
2023-10-01 00:00:57,136,176
2023-10-01 00:00:58,140,173
2023-10-01 00:00:59,130,175
2023-10-01 00:01:00,136,173
2023-10-01 00:01:01,139,174
2023-10-01 00:01:02,134,173
2023-10-01 00:01:03,138,177
2023-10-01 00:01:04,131,173
2023-10-01 00:01:05,131,174
2023-10-01 00:01:06,132,176
2023-10-01 00:01:07,142,174
2023-10-01 00:01:08,129,173
2023-10-01 00:01:09,132,173
2023-10-01 00:01:10,133,176
2023-10-01 00:01:11,141,177
